speaker,text,label
*PRE,concerne nombreux chantiers,surprise
*PRE,explique Bruno Cavalier tête fédération nationale travaux public,
*PRE,dossier sensible plus table gouvernement,
*PRE,reportage signé claire chaudière retrouver site page grand angle invité cinq minute raymond girardi vice président syndicat agricole modef monde agricole manquent main ' oeuvre exploitants espèrent pouvoir bientôt retrouver saisonniers étrangers,
*PRE,moment tout bloqué cause ' épidémie,
*PRE,menuiserie lancent découpe plexiglas faire face crise voilà exemple con reconversion rapide réussi ' entreprise a tellement commandes ' embaucher nouveaux salariés patron ' invité philippe bertrand deux minute ' abord voici suite,
*PRE,feuilleton sportif eaux france où nombreux club amateur sport collectif,
*PRE,exsangues ' empare spectacle reprise budget boucler prochaine saison certains crainte perdre licenciés,
*PRE,ministre sport roxana maracineanu a promis cette semaine plan relance sans livrer détails terrain chevet striée ' inquiétude grandit jour après jour,
*PRE,' image peut sembler anecdotique pourtant pâquerettes envahissent toujours terrain foot petits club amateur comme celui sporting club dany,
*PRE,a ' impression film science fiction où tout monde parti ' plus revenue patres,
*PRE,bazin a président club département nord fort trois cent quarante sept licencier lesquels tente ' entretenir lien via réseaux sociaux sans trop savoir quoi ' avenir serum fait,
*PRE,comment refaire venir gamin stade euh actuellement euh financièrement no partenaires aussi subi conséquences parallèlement premier va dire jusqu ' trente juin ' là où organise no plus grandes manifestation sportives,
*PRE,tournois ' auto brocante font rentrer ' argent caisses club là rien,
perso 2,cinq milliard d'euro an,
perso 3,met beaucoup temp,
perso 3,journées risquent d'être plus longues,
perso 3,savez entreprises BTP,
perso 3,où marge deux cent,
perso 3,quand imaginez aujourd'hui ' peut avoir surcoûts 10 15 20 cent,
perso 3,entreprises ' survivraient pa,
perso 3,donc faut tous ensemble trouvions solution,
